Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
9,028;99,382;0,210;488,742;0,3176;11,480;0,889;4,311;63,563;35,819;294,642;0,000;0,886;5877,748;23,576;15,783;6,933;20,631;93,153;27,319;0,839;15,304;0,760;9,373;5698488,305;adhesive;3
17,067;116,722;0,282;493,890;0,3407;21,370;0,436;2,635;72,411;44,311;400,272;0,000;0,929;6068,760;49,211;25,967;8,012;15,365;85,893;47,711;1,315;30,620;1,038;21,933;5698488,305;adhesive;3
43,674;206,272;0,469;344,119;0,3555;50,199;-0,211;1,812;88,589;117,684;504,614;89,800;1,081;3378,061;128,234;4,171;43,142;0,242;79,645;69,308;4,233;59,401;0,500;55,419;5698488,305;adhesive;3
8,632;77,462;0,618;421,303;0,2546;10,937;-0,915;2,973;32,715;44,747;325,166;90,000;0,795;5221,870;17,375;5,825;23,179;7,398;76,219;12,064;1,879;9,252;0,303;11,133;5698488,305;adhesive;3
10,860;97,028;0,658;418,435;0,2145;13,164;0,171;2,459;55,333;41,696;256,256;0,000;0,723;4438,300;36,778;11,020;7,135;9,301;92,428;25,650;1,028;17,316;0,566;13,272;5698488,305;adhesive;3
13,502;121,237;0,682;474,187;0,3051;17,863;-0,273;3,406;65,519;55,719;459,126;74,500;0,876;5218,353;35,493;18,365;32,855;16,077;88,986;33,145;2,770;21,138;0,745;13,509;5698488,305;adhesive;3
11,027;98,983;0,467;435,204;0,2352;13,100;0,081;2,568;49,004;49,979;514,053;90,000;0,753;5597,035;30,995;10,845;11,530;18,837;92,911;25,559;1,211;16,457;0,485;11,934;5698488,305;adhesive;3
7,132;92,573;0,475;564,012;0,4486;9,329;-0,418;3,933;58,218;34,355;203,630;90,000;1,067;7176,136;19,903;9,201;14,543;6,991;83,548;13,894;1,583;8,686;0,436;7,715;5698488,305;adhesive;3
9,073;81,799;0,358;481,122;0,2837;11,451;-0,473;3,135;38,807;42,992;208,519;90,000;0,839;5734,753;28,630;7,331;14,341;7,427;87,059;18,536;1,666;12,554;0,390;10,135;5698488,305;adhesive;3
6,988;82,916;0,534;410,949;0,1733;8,791;0,213;4,043;50,229;32,688;332,950;90,000;0,640;4933,770;24,043;8,304;8,369;8,295;92,931;15,717;0,905;10,638;0,415;7,851;5698488,305;adhesive;3
4,397;88,375;0,438;360,741;0,1539;5,903;0,500;5,352;57,577;30,798;252,653;177,800;0,605;4715,847;11,800;8,516;6,292;14,364;87,025;12,960;0,689;7,231;0,388;4,703;5698488,305;adhesive;3
4,657;216,349;0,728;380,570;0,2121;9,438;7,948;110,843;187,137;29,211;206,352;39,600;0,731;5138,501;11,319;19,128;7,338;10,753;87,259;15,641;0,758;5,660;1,000;4,128;5698488,305;adhesive;3
5,313;80,333;0,506;560,365;0,4172;6,688;0,418;4,241;49,954;30,379;302,762;175,500;1,019;7258,099;17,749;7,583;5,455;9,632;93,616;13,590;0,609;8,180;0,378;5,952;5698488,305;adhesive;3
4,367;106,117;0,204;421,843;0,2179;5,692;-0,091;3,783;31,290;74,828;281,998;0,000;0,722;5619,020;12,457;6,119;6,991;14,356;88,976;11,569;0,703;6,978;0,277;4,714;5698488,305;adhesive;3
5,466;62,946;0,241;388,032;0,1762;6,712;0,216;2,802;31,974;30,972;340,704;175,500;0,646;4925,327;15,149;6,909;6,048;19,678;92,151;13,935;0,637;9,108;0,254;5,857;5698488,305;adhesive;3
5,931;63,173;0,218;488,854;0,3200;7,118;-0,038;2,585;35,658;27,515;300,872;175,700;0,884;6507,419;20,845;5,133;6,587;5,857;93,888;12,584;0,606;8,755;0,274;7,070;5698488,305;adhesive;3
5,863;70,158;0,302;456,121;0,2520;7,373;0,268;3,255;34,125;36,033;315,905;175,500;0,787;4991,636;15,387;9,101;7,640;19,824;91,765;16,177;0,726;10,028;0,340;6,090;5698488,305;adhesive;3
