Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
4,659;92,655;0,380;612,871;0,4024;6,099;-0,297;4,704;36,035;56,620;188,056;178,700;1,034;4324,502;14,075;6,294;7,811;10,703;89,020;11,648;0,781;6,910;0,312;5,080;5698488,305;abrasive;1
4,462;72,344;0,413;418,904;0,1693;5,860;-0,344;4,497;28,020;44,325;215,195;179,000;0,648;2107,287;13,345;6,028;7,763;10,511;88,409;11,148;0,781;6,523;0,300;4,841;5698488,305;abrasive;1
4,667;84,812;0,426;593,831;0,3549;6,149;-0,211;4,413;33,979;50,833;205,194;180,000;0,971;3845,917;13,860;6,875;7,947;11,073;88,782;12,117;0,797;6,924;0,341;5,014;5698488,305;abrasive;1
4,645;78,930;0,457;564,026;0,3011;6,016;-0,078;4,066;41,431;37,499;216,151;0,000;0,884;3475,325;14,298;6,481;7,052;10,682;89,716;11,865;0,734;6,952;0,323;5,055;5698488,305;abrasive;1
4,978;78,250;0,521;668,386;0,4899;6,542;-0,224;4,499;37,161;41,089;231,503;180,000;1,157;4562,475;14,976;7,064;8,385;10,534;88,774;12,511;0,853;7,297;0,352;5,371;5698488,305;abrasive;1
4,566;114,174;0,298;570,478;0,3457;6,029;-0,074;4,777;69,478;44,696;135,560;180,000;0,954;3937,201;13,479;6,874;7,339;11,430;88,614;11,816;0,756;6,817;0,342;4,936;5698488,305;abrasive;1
4,602;75,099;0,184;605,421;0,4144;5,999;-0,200;4,159;33,840;41,260;86,422;0,000;1,051;4500,739;13,916;6,245;7,494;10,526;88,693;11,362;0,773;6,784;0,311;5,022;5698488,305;abrasive;1
4,539;80,827;0,340;586,733;0,3447;5,935;-0,177;4,191;35,321;45,506;178,096;180,000;0,953;3886,722;13,457;6,358;7,311;11,518;88,490;11,607;0,756;6,849;0,311;4,945;5698488,305;abrasive;1
4,620;103,840;0,476;577,599;0,3555;6,080;-0,235;4,450;57,851;45,989;229,725;180,000;0,973;4082,835;13,841;6,442;8,128;10,465;88,723;11,431;0,807;6,735;0,321;4,979;5698488,305;abrasive;1
4,803;167,337;0,450;546,062;0,3119;6,564;0,468;13,997;123,478;43,859;230,029;0,000;0,904;3454,571;13,725;7,410;8,770;11,563;87,951;12,175;0,868;6,999;0,371;5,094;5698488,305;abrasive;1
4,873;86,734;0,344;559,570;0,3224;6,468;-0,338;4,646;39,730;47,005;223,651;0,000;0,925;3366,276;14,308;6,808;9,243;10,401;88,036;11,977;0,912;6,960;0,340;5,189;5698488,305;abrasive;1
