Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
7,312;136,419;0,744;733,947;0,4975;9,300;-0,147;3,609;65,368;71,051;95,675;74,100;1,152;4320,104;23,289;8,856;10,250;9,417;89,674;17,495;1,106;10,844;0,447;8,219;5698488,305;erosive;2
7,223;107,726;0,801;687,852;0,4342;9,300;-0,230;3,925;46,658;61,068;96,026;61,000;1,072;3821,117;22,513;9,235;11,176;9,611;89,140;17,598;1,176;10,562;0,464;7,971;5698488,305;erosive;2
8,238;131,774;0,804;682,868;0,4786;10,858;-0,499;4,754;70,131;61,642;113,736;174,800;1,121;4140,349;24,723;10,015;15,452;9,507;88,036;18,965;1,534;11,632;0,501;8,952;5698488,305;erosive;2
9,188;135,733;0,766;705,387;0,5273;11,968;-0,461;4,335;59,100;76,633;130,745;18,300;1,181;4501,443;27,852;10,890;16,175;9,470;88,077;21,207;1,632;13,117;0,548;10,139;5698488,305;erosive;2
8,329;146,568;0,869;702,898;0,4919;10,825;-0,460;4,180;62,724;83,844;99,727;90,000;1,143;4045,547;25,302;9,595;14,759;9,420;88,064;19,128;1,495;11,887;0,483;9,175;5698488,305;erosive;2
7,996;120,342;0,767;683,258;0,4121;10,317;-0,160;3,780;67,728;52,614;113,398;12,500;1,044;3650,508;24,548;10,288;12,536;10,253;88,834;19,496;1,324;11,820;0,513;8,781;5698488,305;erosive;2
6,771;90,631;0,941;680,624;0,3895;8,726;-0,235;3,834;45,145;45,487;84,456;84,500;1,017;3524,398;20,805;8,758;10,582;9,237;88,197;16,221;1,123;9,705;0,440;7,545;5698488,305;erosive;2
6,990;110,791;0,887;745,230;0,4880;8,944;-0,077;3,658;55,740;55,051;94,511;110,600;1,147;4003,862;21,992;9,161;10,010;9,682;89,545;17,228;1,075;10,335;0,459;7,777;5698488,305;erosive;2
6,825;105,775;0,905;699,724;0,4430;8,850;-0,153;3,930;54,283;51,492;99,736;74,500;1,089;3944,237;20,588;9,105;10,605;10,570;88,189;16,804;1,138;10,069;0,454;7,509;5698488,305;erosive;2
6,935;120,959;0,950;700,728;0,4563;9,013;-0,031;4,122;69,233;51,726;102,221;117,900;1,102;4092,684;20,820;9,854;10,225;11,122;88,338;17,528;1,116;10,430;0,488;7,618;5698488,305;erosive;2
