Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
6,274;99,613;0,395;151,323;0,08934;8,400;1,111;5,455;66,639;32,973;207,302;37,900;0,436;2857,439;17,434;15,127;5,247;14,704;92,250;22,529;0,650;10,695;0,740;6,443;5698488,305;adhesive;3
6,278;242,570;0,205;155,164;0,1216;14,498;7,530;77,244;210,969;31,601;99,426;90,000;0,535;2797,110;14,290;28,839;5,669;12,782;90,556;17,345;0,640;7,674;1,715;5,142;5698488,305;adhesive;3
3,947;64,879;0,174;129,375;0,06778;5,057;0,283;3,977;40,274;24,605;52,874;176,300;0,378;2781,808;12,411;5,893;4,658;10,940;90,601;10,384;0,536;6,099;0,293;4,373;5698488,305;adhesive;3
3,590;58,598;0,274;125,980;0,06508;4,634;0,117;4,074;32,267;26,330;44,273;175,600;0,371;2875,028;11,095;5,300;4,842;10,389;89,432;9,258;0,534;5,366;0,265;3,975;5698488,305;adhesive;3
14,624;222,121;0,316;258,251;0,2706;20,502;1,421;7,307;139,401;82,720;138,021;30,000;0,787;2655,522;39,919;40,833;15,100;13,232;90,763;55,128;1,757;22,613;2,174;14,401;5698488,305;adhesive;3
8,001;169,651;0,773;208,556;0,1604;11,255;1,259;7,916;101,676;67,976;113,288;175,000;0,595;3048,275;21,995;21,526;9,367;12,188;88,889;28,932;1,053;11,869;1,138;8,203;5698488,305;adhesive;3
10,318;319,072;0,660;218,811;0,2093;17,314;3,678;27,320;272,008;47,064;135,374;18,200;0,694;2831,056;23,649;42,148;7,780;14,226;90,529;53,898;0,960;14,954;2,472;8,987;5698488,305;adhesive;3
8,110;195,944;0,442;180,814;0,1626;13,653;3,558;24,393;147,422;48,522;96,861;180,000;0,608;2661,678;20,019;32,427;7,947;12,490;90,135;34,762;0,895;10,996;1,829;7,309;5698488,305;adhesive;3
7,974;174,338;0,280;170,139;0,1405;12,781;2,911;16,072;143,622;30,716;136,306;165,500;0,565;2712,861;17,048;29,219;6,450;16,870;91,292;40,447;0,722;12,091;1,824;6,725;5698488,305;adhesive;3
4,368;106,389;0,181;141,991;0,08830;6,240;2,164;18,839;80,859;25,530;50,138;173,900;0,437;2760,878;12,451;9,705;5,176;13,118;90,844;12,761;0,561;6,709;0,515;4,485;5698488,305;adhesive;3
12,986;206,225;0,426;268,945;0,2544;17,832;1,004;6,155;102,654;103,572;197,196;90,000;0,762;2892,264;35,019;30,891;15,688;14,026;89,210;45,615;1,799;20,264;1,621;12,945;5698488,305;adhesive;3
10,047;191,702;0,337;182,668;0,1409;15,850;2,605;14,150;150,585;41,117;152,848;90,000;0,559;2878,545;25,017;40,510;8,612;12,210;89,308;46,106;1,088;13,665;2,250;9,215;5698488,305;adhesive;3
16,183;314,736;0,314;221,050;0,2895;30,159;3,933;22,193;261,629;53,108;144,593;75,500;0,863;2764,747;26,065;80,336;9,698;16,688;90,758;99,370;1,116;20,781;5,439;10,618;5698488,305;adhesive;3
7,577;203,451;0,494;180,703;0,1583;12,573;4,180;35,110;160,738;42,713;119,578;173,600;0,601;2659,392;18,834;24,097;6,805;14,997;91,598;27,186;0,768;11,277;1,439;7,014;5698488,305;adhesive;3
7,285;154,366;0,494;171,443;0,1380;12,293;3,138;17,840;111,856;42,510;105,957;173,800;0,559;2871,158;15,067;30,949;7,224;15,256;89,844;38,916;0,761;10,583;1,863;5,869;5698488,305;adhesive;3
3,647;147,123;0,347;133,051;0,07063;5,172;1,710;18,706;120,125;26,998;49,640;177,500;0,389;2946,261;10,546;8,265;5,023;11,032;89,211;10,347;0,536;5,268;0,425;3,809;5698488,305;adhesive;3
3,506;56,121;0,260;127,764;0,06778;4,474;0,115;3,613;27,467;28,654;41,818;173,700;0,379;2864,826;11,028;4,943;4,388;10,263;89,757;8,952;0,498;5,318;0,246;3,929;5698488,305;adhesive;3
8,747;180,055;0,344;200,462;0,1557;13,633;2,579;16,670;126,734;53,321;151,417;90,000;0,589;2981,790;21,404;28,027;10,956;14,669;90,230;36,015;1,092;12,910;1,642;8,013;5698488,305;adhesive;3
