Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
3,847;72,633;0,202;157,565;0,09801;5,016;0,196;4,325;37,606;35,027;38,182;1,800;0,461;2983,373;11,610;6,159;5,344;12,007;90,227;10,584;0,561;5,982;0,304;4,155;5698488,305;abrasive;1
3,642;87,135;0,165;154,665;0,09000;4,755;0,184;4,837;40,920;46,215;39,030;179,800;0,441;3100,161;10,929;5,938;4,765;12,072;89,748;10,099;0,519;5,688;0,292;3,984;5698488,305;abrasive;1
3,283;55,675;0,206;146,038;0,07938;4,296;0,264;4,306;29,015;26,660;38,416;1,700;0,411;3198,481;9,792;5,586;4,431;11,940;89,646;9,295;0,477;5,069;0,278;3,552;5698488,305;abrasive;1
3,304;72,036;0,211;143,023;0,07634;4,329;0,259;4,750;33,040;38,997;38,580;4,100;0,404;3174,209;9,952;5,559;4,393;11,705;89,820;9,287;0,480;5,080;0,277;3,571;5698488,305;abrasive;1
2,908;69,662;0,146;129,225;0,06168;3,805;-0,114;5,106;27,828;41,834;40,099;2,900;0,361;3238,232;8,662;4,292;4,381;11,087;88,283;7,511;0,469;4,351;0,212;3,192;5698488,305;abrasive;1
2,891;47,962;0,084;125,144;0,05660;3,746;0,177;3,921;24,581;23,381;41,184;1,900;0,344;3220,643;8,705;4,475;3,847;11,189;88,684;7,666;0,436;4,365;0,223;3,184;5698488,305;abrasive;1
2,950;41,498;0,062;116,347;0,04860;3,768;-0,031;3,499;23,241;18,257;51,307;2,100;0,318;3210,090;9,133;3,863;4,026;10,717;89,272;7,418;0,442;4,484;0,191;3,300;5698488,305;abrasive;1
2,843;40,867;0,050;113,554;0,04550;3,634;-0,050;3,533;22,975;17,892;55,234;2,700;0,307;3279,916;8,929;3,764;4,080;9,906;89,657;7,101;0,438;4,225;0,188;3,145;5698488,305;abrasive;1
2,620;36,977;0,050;109,426;0,04162;3,372;-0,154;3,650;21,115;15,862;44,887;1,700;0,293;3317,908;7,948;3,429;3,989;9,497;87,409;6,267;0,437;3,765;0,172;2,936;5698488,305;abrasive;1
3,369;57,626;0,146;138,608;0,07241;4,347;0,263;4,135;33,761;23,865;42,661;0,000;0,392;3156,972;10,439;5,319;4,110;10,342;89,311;8,840;0,476;5,071;0,266;3,754;5698488,305;abrasive;1
3,160;46,476;0,159;132,976;0,06528;4,091;0,038;3,998;21,308;25,168;45,646;1,500;0,371;3223,281;9,689;4,716;4,391;10,992;89,579;8,367;0,475;4,802;0,234;3,465;5698488,305;abrasive;1
3,324;51,246;0,106;132,367;0,06405;4,319;-0,028;3,902;30,253;20,993;45,126;1,800;0,367;3137,801;10,001;4,780;5,173;10,790;88,645;8,513;0,546;4,923;0,238;3,617;5698488,305;abrasive;1
3,391;56,104;0,083;136,274;0,06888;4,382;-0,046;3,798;34,061;22,043;49,997;3,000;0,381;3196,371;10,267;4,762;5,031;10,239;88,117;8,535;0,549;4,975;0,238;3,752;5698488,305;abrasive;1
3,547;51,679;0,148;137,788;0,06961;4,678;-0,054;4,274;26,051;25,628;50,764;2,100;0,383;3149,233;10,438;5,428;6,020;10,588;87,943;9,019;0,624;5,125;0,271;3,802;5698488,305;abrasive;1
3,238;57,081;0,138;129,271;0,06070;4,230;-0,326;4,249;33,456;23,626;48,898;3,700;0,357;3191,270;9,583;4,068;5,653;9,562;86,920;7,458;0,592;4,554;0,204;3,567;5698488,305;abrasive;1
3,030;69,969;0,086;127,116;0,05835;3,993;0,263;5,956;44,696;25,273;43,383;2,600;0,350;3238,935;9,177;4,761;4,515;10,650;89,176;7,804;0,475;4,494;0,238;3,294;5698488,305;abrasive;1
2,904;46,073;0,096;121,336;0,05246;3,745;0,122;3,883;28,075;17,998;42,001;1,300;0,330;3244,212;9,037;4,403;3,911;10,516;89,857;7,671;0,429;4,391;0,219;3,187;5698488,305;abrasive;1
2,826;46,501;0,139;125,646;0,05636;3,643;0,220;3,936;25,287;21,213;39,380;4,500;0,343;3249,840;8,678;4,329;3,538;10,829;89,252;7,503;0,408;4,272;0,217;3,129;5698488,305;abrasive;1
3,417;49,986;0,179;139,381;0,07433;4,396;-0,160;3,659;23,604;26,381;37,642;5,700;0,397;3106,669;10,431;4,422;5,177;9,817;88,063;8,249;0,559;4,981;0,221;3,814;5698488,305;abrasive;1
3,643;50,186;0,130;139,879;0,07492;4,707;-0,332;3,733;25,450;24,737;39,610;0,100;0,398;3075,537;10,819;4,378;6,081;9,489;86,652;8,300;0,649;5,150;0,220;4,066;5698488,305;abrasive;1
3,691;57,801;0,118;143,349;0,07772;4,799;-0,271;4,005;28,776;29,025;42,366;0,000;0,407;3121,619;11,126;4,846;6,178;9,294;87,594;8,692;0,655;5,203;0,242;4,046;5698488,305;abrasive;1
3,482;54,842;0,096;140,468;0,07438;4,570;-0,106;4,101;29,429;25,413;40,920;2,200;0,397;3114,232;10,246;5,158;5,710;11,062;87,991;9,003;0,598;5,131;0,256;3,767;5698488,305;abrasive;1
3,211;55,695;0,158;134,639;0,06775;4,211;-0,129;4,301;29,313;26,382;40,396;0,700;0,379;3192,501;9,629;4,660;5,304;10,922;88,895;8,266;0,536;4,786;0,231;3,475;5698488,305;abrasive;1
3,222;59,330;0,079;131,952;0,06323;4,186;0,180;4,293;31,590;27,739;47,843;2,600;0,365;3228,558;9,790;5,010;4,366;11,199;89,339;8,645;0,482;4,898;0,249;3,523;5698488,305;abrasive;1
3,487;48,251;0,049;127,597;0,05974;4,492;-0,268;3,791;23,326;24,925;67,383;180,000;0,354;3160,490;10,574;4,370;5,377;9,673;87,607;8,306;0,580;5,038;0,220;3,908;5698488,305;abrasive;1
3,235;50,046;0,033;124,742;0,05726;4,220;-0,442;4,363;22,476;27,570;46,167;0,000;0,346;3160,138;9,559;4,000;5,612;9,089;86,609;7,290;0,587;4,488;0,201;3,589;5698488,305;abrasive;1
3,135;45,810;0,068;122,856;0,05514;4,027;-0,159;3,629;22,660;23,150;46,144;3,400;0,340;3225,920;9,626;4,171;4,656;9,639;88,117;7,683;0,508;4,559;0,210;3,499;5698488,305;abrasive;1
3,157;55,422;0,144;137,216;0,06818;4,132;0,020;4,601;24,663;30,759;39,231;4,600;0,379;3249,488;9,466;4,962;4,577;10,491;88,261;8,217;0,498;4,643;0,248;3,472;5698488,305;abrasive;1
3,195;47,070;0,143;136,913;0,06925;4,136;-0,054;3,995;25,547;21,523;39,229;3,200;0,383;3168,933;9,835;4,488;4,883;10,191;89,280;8,004;0,507;4,728;0,224;3,512;5698488,305;abrasive;1
3,402;58,706;0,142;136,697;0,06816;4,491;-0,352;4,526;26,905;31,801;44,624;0,000;0,379;3164,711;9,927;4,604;6,178;10,087;87,113;8,069;0,632;4,811;0,230;3,695;5698488,305;abrasive;1
4,022;62,762;0,090;143,437;0,07473;5,259;-0,352;3,923;32,660;30,102;46,623;3,900;0,397;3117,574;11,469;4,967;7,269;10,215;85,711;9,095;0,768;5,631;0,248;4,425;5698488,305;abrasive;1
3,975;67,248;0,047;136,111;0,06749;5,450;-0,865;5,587;33,476;33,772;64,470;3,000;0,377;3184,235;10,784;5,205;9,556;9,784;86,089;8,936;0,901;5,216;0,260;4,104;5698488,305;abrasive;1
3,463;49,102;0,043;128,653;0,05708;4,576;-0,078;4,471;28,767;20,335;57,302;3,200;0,345;3238,056;10,106;5,177;5,935;10,465;87,446;8,520;0,615;4,960;0,259;3,745;5698488,305;abrasive;1
3,035;50,798;0,096;123,376;0,05236;3,925;-0,200;3,976;29,348;21,451;46,180;0,100;0,330;3260,921;9,325;3,893;4,707;10,510;89,084;7,431;0,493;4,531;0,193;3,342;5698488,305;abrasive;1
2,669;42,122;0,098;117,234;0,04809;3,397;0,055;3,534;24,657;17,465;37,816;3,800;0,316;3259,162;8,372;3,548;3,416;10,136;89,271;6,623;0,389;4,023;0,177;3,004;5698488,305;abrasive;1
2,651;37,117;0,107;116,247;0,04678;3,376;0,004;3,406;19,678;17,440;41,051;3,000;0,311;3314,038;8,288;3,562;3,488;9,903;88,955;6,624;0,398;3,945;0,178;2,972;5698488,305;abrasive;1
3,427;60,187;0,093;142,009;0,07804;4,566;-0,444;5,215;26,499;33,689;37,029;2,100;0,408;3123,202;10,043;4,917;6,275;10,202;87,747;8,532;0,628;4,873;0,246;3,685;5698488,305;abrasive;1
3,417;56,197;0,074;140,639;0,07244;4,480;-0,293;4,370;32,025;24,172;39,007;3,600;0,391;3154,158;10,174;4,454;5,980;9,983;87,662;8,077;0,616;4,889;0,223;3,724;5698488,305;abrasive;1
3,635;81,420;0,084;137,713;0,07098;4,817;-0,249;6,389;51,936;29,485;47,346;1,700;0,388;3127,775;10,884;4,713;6,604;9,226;87,736;8,233;0,671;5,075;0,236;3,940;5698488,305;abrasive;1
3,488;49,767;0,113;132,506;0,06390;4,603;-0,287;4,170;23,283;26,485;47,491;6,100;0,366;3162,777;10,268;4,928;6,459;10,025;87,681;8,522;0,657;4,919;0,246;3,718;5698488,305;abrasive;1
3,328;52,092;0,113;126,334;0,05778;4,412;0,023;4,565;28,883;23,209;55,120;7,200;0,348;3227,678;9,747;5,369;5,436;11,768;89,021;8,951;0,543;5,011;0,267;3,565;5698488,305;abrasive;1
3,121;51,106;0,068;125,726;0,05464;4,001;0,309;3,775;31,273;19,832;51,740;0,000;0,338;3270,243;9,588;4,867;3,599;11,476;89,849;8,524;0,427;4,832;0,241;3,449;5698488,305;abrasive;1
3,176;46,104;0,070;124,885;0,05519;4,068;0,249;3,598;23,280;22,824;50,586;3,000;0,339;3292,228;9,896;4,971;3,765;10,593;89,799;8,578;0,441;4,825;0,248;3,524;5698488,305;abrasive;1
3,230;35,732;0,060;120,182;0,05210;4,074;0,065;3,171;19,623;16,109;52,298;0,000;0,329;3248,257;10,318;4,197;3,826;10,013;89,891;8,104;0,451;4,914;0,210;3,652;5698488,305;abrasive;1
2,980;40,348;0,070;118,032;0,04898;3,800;0,071;3,413;23,704;16,645;50,083;0,000;0,319;3235,945;9,312;4,220;3,832;9,970;89,074;7,613;0,441;4,443;0,211;3,326;5698488,305;abrasive;1
2,838;51,269;0,110;120,237;0,05232;3,676;-0,048;4,291;30,018;21,251;41,569;5,700;0,330;3220,819;8,775;3,948;4,257;10,317;89,529;7,123;0,446;4,226;0,197;3,112;5698488,305;abrasive;1
2,706;60,677;0,114;122,961;0,05228;3,522;0,059;4,545;25,675;35,002;39,951;4,600;0,330;3304,365;8,283;4,131;3,850;10,722;89,419;7,094;0,413;4,066;0,206;2,959;5698488,305;abrasive;1
3,181;49,766;0,149;118,480;0,05017;4,200;-0,119;4,301;25,551;24,215;62,112;0,000;0,323;3231,020;9,426;4,850;5,559;10,570;88,494;8,195;0,558;4,616;0,242;3,395;5698488,305;abrasive;1
3,284;53,456;0,130;120,195;0,05141;4,297;-0,424;4,136;22,037;31,419;56,183;4,200;0,327;3212,200;9,657;4,080;6,023;9,606;86,870;7,574;0,627;4,584;0,204;3,568;5698488,305;abrasive;1
3,140;46,374;0,097;117,987;0,04873;4,028;-0,084;3,690;24,147;22,227;54,011;3,200;0,318;3244,388;9,681;4,120;4,470;9,830;88,362;7,615;0,496;4,611;0,206;3,516;5698488,305;abrasive;1
2,943;38,062;0,109;118,607;0,04934;3,716;0,147;3,384;20,277;17,786;48,284;1,700;0,320;3279,565;9,509;3,992;3,371;9,760;90,577;7,470;0,401;4,457;0,200;3,304;5698488,305;abrasive;1
3,553;132,588;0,500;116,434;0,05399;6,856;7,991;104,883;111,856;20,732;99,061;180,000;0,338;3197,954;9,920;11,724;3,960;9,767;88,395;8,340;0,466;4,731;0,578;3,617;5698488,305;abrasive;1
3,851;127,711;0,349;119,311;0,05789;7,345;7,181;84,087;107,384;20,327;95,402;0,000;0,351;3184,938;10,754;13,238;3,788;10,617;90,568;9,707;0,450;5,240;0,686;3,787;5698488,305;abrasive;1
2,884;57,185;0,078;114,421;0,04593;3,705;-0,111;4,303;21,237;35,948;49,654;180,000;0,309;3235,945;9,025;3,935;3,844;10,078;89,267;7,286;0,433;4,319;0,196;3,217;5698488,305;abrasive;1
3,138;56,966;0,069;135,687;0,06735;4,074;0,364;4,613;33,093;23,874;38,089;0,000;0,377;3227,151;9,694;5,139;3,790;11,132;90,219;8,552;0,432;4,834;0,256;3,444;5698488,305;abrasive;1
3,008;46,379;0,099;132,154;0,06351;3,901;0,283;4,010;27,918;18,460;37,950;0,000;0,366;3236,297;9,067;4,891;3,773;11,804;89,487;8,324;0,424;4,675;0,242;3,311;5698488,305;abrasive;1
2,939;68,481;0,161;132,044;0,06285;3,821;0,103;4,437;41,238;27,243;39,270;0,000;0,363;3212,728;8,947;4,430;4,148;11,033;89,468;7,690;0,444;4,440;0,221;3,221;5698488,305;abrasive;1
2,852;49,388;0,178;126,928;0,05888;3,686;-0,059;3,889;21,871;27,518;38,484;180,000;0,351;3193,908;8,737;3,976;4,254;10,663;89,218;7,286;0,453;4,259;0,198;3,120;5698488,305;abrasive;1
2,969;61,316;0,135;125,196;0,05836;3,883;0,424;4,783;34,354;26,962;43,407;0,000;0,351;3155,213;9,059;5,229;3,752;10,926;89,910;8,390;0,418;4,490;0,263;3,231;5698488,305;abrasive;1
2,845;44,581;0,157;123,602;0,05530;3,660;0,168;3,761;21,331;23,250;41,799;0,000;0,340;3139,384;8,796;4,366;3,706;11,013;90,114;7,679;0,409;4,349;0,217;3,116;5698488,305;abrasive;1
3,052;78,815;0,116;127,905;0,06118;4,328;0,265;10,892;47,017;31,798;42,386;0,000;0,358;3197,426;8,622;5,368;6,440;11,279;88,817;7,834;0,581;4,336;0,273;3,113;5698488,305;abrasive;1
3,235;72,421;0,133;129,720;0,06302;4,439;0,512;9,303;47,049;25,372;46,543;176,000;0,364;3155,741;9,386;5,588;5,704;10,431;88,017;8,083;0,573;4,585;0,281;3,423;5698488,305;abrasive;1
3,237;72,597;0,180;138,041;0,07363;4,266;-0,091;5,388;46,794;25,803;39,416;175,400;0,396;3134,811;9,785;4,635;5,434;9,418;88,205;7,772;0,561;4,586;0,231;3,527;5698488,305;abrasive;1
3,123;60,799;0,157;136,555;0,06891;4,071;0,300;5,054;30,843;29,957;42,520;180,000;0,382;3251,423;9,689;5,361;3,683;10,891;90,588;8,747;0,418;4,771;0,269;3,421;5698488,305;abrasive;1
3,038;45,073;0,168;129,944;0,06205;3,871;0,312;3,618;25,109;19,965;41,014;176,900;0,362;3203,406;9,562;4,602;3,316;11,321;91,007;8,271;0,393;4,756;0,229;3,368;5698488,305;abrasive;1
3,071;48,092;0,165;137,259;0,06948;3,946;0,244;3,788;26,669;21,424;36,855;0,000;0,384;3152,399;9,525;4,794;3,761;11,477;90,784;8,457;0,414;4,790;0,237;3,377;5698488,305;abrasive;1
3,460;57,670;0,123;143,118;0,07742;4,486;0,353;4,162;28,396;29,273;38,437;180,000;0,406;3059,180;10,560;5,757;4,241;11,893;90,529;9,780;0,473;5,412;0,286;3,756;5698488,305;abrasive;1
3,374;66,303;0,165;140,412;0,07537;4,383;0,431;4,498;41,382;24,921;40,386;178,800;0,401;3101,392;10,314;5,739;4,091;11,797;90,795;9,533;0,454;5,254;0,286;3,648;5698488,305;abrasive;1
3,196;78,469;0,261;143,040;0,07843;4,178;0,252;5,147;38,557;39,912;36,689;178,500;0,410;3094,885;9,779;5,183;4,355;11,673;90,965;8,786;0,447;4,951;0,258;3,463;5698488,305;abrasive;1
3,463;106,687;0,232;142,360;0,07884;4,798;1,709;17,981;68,498;38,189;42,668;179,300;0,410;3040,888;10,506;6,671;4,363;11,213;90,768;9,381;0,473;5,220;0,340;3,688;5698488,305;abrasive;1
3,526;80,104;0,224;145,972;0,08054;4,802;1,005;11,622;53,300;26,804;45,795;179,700;0,415;3102,975;10,495;6,213;5,010;11,081;89,122;9,128;0,536;5,223;0,316;3,798;5698488,305;abrasive;1
3,310;76,637;0,193;140,347;0,07496;4,294;-0,186;4,545;29,803;46,834;37,599;179,900;0,399;3112,649;10,076;4,453;5,056;11,214;89,471;8,360;0,517;5,035;0,219;3,648;5698488,305;abrasive;1
2,686;47,295;0,158;118,487;0,05144;3,477;0,149;4,018;23,377;23,917;44,198;178,200;0,328;3290,821;8,201;4,147;3,562;11,223;89,656;7,224;0,389;4,111;0,206;2,964;5698488,305;abrasive;1
2,719;43,748;0,155;117,180;0,04966;3,465;0,144;3,624;19,419;24,329;41,877;179,900;0,321;3238,583;8,602;3,904;3,276;10,473;90,353;7,138;0,377;4,153;0,195;3,025;5698488,305;abrasive;1
2,961;50,859;0,121;126,435;0,05853;3,850;0,339;4,433;26,548;24,312;41,891;0,200;0,351;3207,979;9,052;4,839;3,820;11,553;90,407;8,157;0,417;4,552;0,243;3,210;5698488,305;abrasive;1
2,924;48,650;0,173;129,515;0,06085;3,774;0,219;4,023;21,566;27,085;37,752;179,800;0,357;3148,354;9,045;4,532;3,712;11,191;90,295;7,827;0,408;4,509;0,225;3,220;5698488,305;abrasive;1
3,044;53,188;0,257;132,923;0,06666;3,927;0,245;3,782;32,999;20,189;36,613;180,000;0,375;3116,695;9,224;4,797;3,959;12,039;90,053;8,447;0,436;4,758;0,235;3,303;5698488,305;abrasive;1
3,255;51,016;0,148;137,960;0,07424;4,227;0,351;4,297;24,979;26,037;35,754;177,100;0,397;3071,844;10,011;5,479;3,943;11,281;90,426;9,046;0,442;5,014;0,274;3,560;5698488,305;abrasive;1
3,622;57,658;0,138;144,140;0,08064;4,720;0,111;4,123;25,716;31,942;41,262;180,000;0,414;3024,179;10,981;5,826;5,160;11,503;89,966;10,031;0,544;5,556;0,288;3,901;5698488,305;abrasive;1
3,777;50,881;0,163;153,598;0,09239;4,824;0,218;3,569;26,516;24,365;35,965;0,000;0,446;2925,155;11,690;5,585;4,562;12,025;90,854;10,230;0,507;5,985;0,272;4,158;5698488,305;abrasive;1
3,807;60,989;0,204;154,091;0,09680;4,961;0,103;4,163;30,944;30,044;37,715;178,300;0,458;2906,687;11,582;6,033;5,478;11,232;89,944;10,384;0,573;5,785;0,300;4,121;5698488,305;abrasive;1
2,590;34,688;0,092;113,005;0,04516;3,322;-0,132;3,560;17,958;16,730;39,051;0,000;0,306;3238,232;7,958;3,309;3,907;9,643;88,210;6,169;0,422;3,772;0,166;2,892;5698488,305;abrasive;1
2,725;48,443;0,085;118,998;0,05052;3,547;0,099;4,466;28,028;20,415;40,278;0,000;0,324;3225,392;8,343;4,056;4,019;10,746;89,611;7,020;0,421;4,083;0,202;2,968;5698488,305;abrasive;1
2,675;40,499;0,121;117,894;0,05033;3,435;0,131;3,824;21,561;18,938;40,492;177,500;0,324;3190,391;8,297;3,815;3,558;11,158;90,168;6,930;0,387;4,117;0,189;2,949;5698488,305;abrasive;1
2,911;43,173;0,105;126,033;0,05841;3,728;-0,003;3,693;21,135;22,038;38,341;179,800;0,351;3193,381;9,079;4,036;3,906;10,175;89,306;7,405;0,436;4,358;0,202;3,239;5698488,305;abrasive;1
3,160;42,664;0,106;131,113;0,06301;4,029;0,128;3,452;23,885;18,780;40,617;178,100;0,364;3130,941;9,837;4,552;3,793;10,895;89,715;8,304;0,442;4,853;0,225;3,532;5698488,305;abrasive;1
3,200;50,397;0,139;136,200;0,06970;4,128;0,081;3,951;23,813;26,584;37,060;177,100;0,384;3095,940;9,902;4,637;4,496;11,157;90,345;8,341;0,473;4,903;0,230;3,494;5698488,305;abrasive;1
3,404;57,185;0,116;141,444;0,07579;4,420;0,246;4,353;27,518;29,667;39,511;0,000;0,402;3079,934;10,340;5,406;4,482;12,174;90,723;9,367;0,476;5,323;0,267;3,679;5698488,305;abrasive;1
3,466;54,470;0,195;142,528;0,08091;4,487;0,313;4,084;27,683;26,788;36,913;180,000;0,417;2988,474;10,628;5,645;4,402;11,510;90,394;9,564;0,487;5,350;0,281;3,756;5698488,305;abrasive;1
3,528;56,029;0,158;140,827;0,08005;4,571;0,263;4,292;33,473;22,556;37,671;178,300;0,414;2970,182;10,776;5,512;4,736;11,753;90,498;9,538;0,501;5,490;0,271;3,839;5698488,305;abrasive;1
2,566;42,824;0,056;108,394;0,04147;3,335;-0,228;4,298;22,752;20,072;51,866;180,000;0,293;3307,530;7,895;3,431;4,170;9,357;88,669;6,143;0,432;3,680;0,172;2,819;5698488,305;abrasive;1
2,552;45,267;0,099;109,551;0,04263;3,302;0,371;5,327;29,094;16,174;46,562;180,000;0,297;3268,132;8,096;3,902;3,195;9,697;90,289;6,503;0,359;3,794;0,195;2,835;5698488,305;abrasive;1
2,624;38,396;0,145;115,690;0,04655;3,375;0,175;3,875;19,628;18,768;44,749;180,000;0,311;3264,438;8,159;3,955;3,303;11,271;90,495;7,063;0,364;4,068;0,196;2,893;5698488,305;abrasive;1
