Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
2,958;43,870;0,947;166,115;0,07950;3,824;0,036;4,116;23,380;20,490;51,668;124,000;0,407;3744,079;9,185;4,275;4,187;10,412;89,860;7,582;0,444;4,440;0,213;3,261;5698488,305;erosive;2
2,881;43,592;0,956;165,403;0,07732;3,688;0,101;3,902;22,286;21,307;52,222;6,400;0,401;3778,376;9,059;4,023;3,646;10,892;90,375;7,446;0,406;4,448;0,199;3,196;5698488,305;erosive;2
2,928;68,994;0,937;167,517;0,08013;3,818;-0,304;5,303;40,802;28,192;54,549;24,700;0,409;3766,592;9,051;3,802;4,641;10,373;89,607;7,240;0,472;4,357;0,189;3,209;5698488,305;erosive;2
2,941;60,508;0,951;166,877;0,07887;3,720;0,133;3,511;44,448;16,059;53,618;148,200;0,405;3776,442;9,332;3,864;3,490;10,599;90,154;7,488;0,406;4,535;0,191;3,315;5698488,305;erosive;2
3,056;78,779;0,630;166,609;0,08014;4,372;-2,439;26,802;22,146;56,633;67,953;46,100;0,409;3761,667;9,438;4,100;5,988;9,887;90,554;7,602;0,523;4,447;0,205;3,282;5698488,305;erosive;2
2,954;43,308;0,919;167,570;0,08028;3,773;0,057;3,462;25,268;18,041;52,170;87,400;0,409;3738,275;9,238;4,143;3,898;10,514;89,794;7,654;0,431;4,493;0,206;3,282;5698488,305;erosive;2
3,047;40,916;0,938;169,892;0,08225;3,877;-0,007;3,430;23,053;17,863;52,128;135,300;0,414;3750,762;9,596;4,004;4,036;9,882;89,432;7,553;0,454;4,549;0,200;3,412;5698488,305;erosive;2
3,089;55,751;0,909;173,933;0,08691;3,979;-0,067;3,942;28,689;27,062;50,400;117,300;0,426;3749,707;9,569;4,217;4,442;10,550;89,604;7,819;0,471;4,654;0,210;3,417;5698488,305;erosive;2
3,108;45,502;0,951;172,071;0,08587;3,987;-0,120;3,723;23,075;22,427;51,905;9,300;0,424;3751,114;9,724;4,076;4,522;9,813;89,313;7,686;0,487;4,598;0,204;3,445;5698488,305;erosive;2
2,935;66,297;0,957;165,524;0,07850;3,827;0,028;5,676;36,223;30,074;51,575;138,100;0,404;3781,367;9,116;4,275;4,013;10,564;89,895;7,491;0,434;4,427;0,213;3,237;5698488,305;erosive;2
2,991;64,218;0,935;169,046;0,08195;3,919;0,142;6,196;36,377;27,841;52,596;0,100;0,413;3795,965;9,209;4,364;4,286;10,674;89,678;7,614;0,456;4,487;0,218;3,278;5698488,305;erosive;2
2,833;39,167;0,851;168,977;0,07997;3,581;0,038;3,240;23,004;16,163;48,589;54,600;0,408;3828,680;9,029;3,693;3,488;9,925;89,855;7,120;0,403;4,279;0,185;3,191;5698488,305;erosive;2
